STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES
ODISHA,MALKANGIR,2005,41,31,7,0,7,7,6,1,3,23,2,6,0
ODISHA,MAYURBHANJ,2005,70,38,102,0,102,40,37,3,19,136,0,180,0
ODISHA,NAYAGARH,2005,28,7,17,0,17,25,20,5,4,10,3,14,0
ODISHA,NOWRANGPUR,2005,29,13,18,0,18,8,8,0,2,49,1,8,0
ODISHA,NUAPADA,2005,11,2,6,0,6,7,5,2,2,38,3,14,0
ODISHA,PURI,2005,54,134,31,0,31,24,18,6,30,24,8,90,0
ODISHA,RAYAGADA,2005,27,20,17,0,17,3,0,3,2,44,5,37,0
ODISHA,ROURKELA,2005,23,19,17,0,17,12,10,2,8,51,7,26,0
ODISHA,SAMBALPUR,2005,44,84,15,0,15,25,17,8,3,76,10,22,0
ODISHA,SONEPUR,2005,10,14,4,0,4,1,1,0,0,43,0,6,0
ODISHA,SRP(CUTTACK),2005,2,3,1,0,1,1,1,0,0,4,0,2,0
ODISHA,SRP(ROURKELA),2005,3,1,1,0,1,3,3,0,0,6,0,1,0
ODISHA,SUNDARGARH,2005,82,45,32,0,32,8,5,3,2,49,7,27,0
ODISHA,TOTAL,2005,1079,1279,799,0,799,641,547,94,334,2238,184,1671,0
PUNJAB,AMRITSAR,2005,47,28,5,0,5,20,14,6,2,6,0,44,0
PUNJAB,BARNALA,2005,11,12,11,0,11,2,1,1,3,11,0,12,0
PUNJAB,BATALA,2005,22,30,24,0,24,18,11,7,7,7,0,34,0
PUNJAB,BHATINDA,2005,45,52,30,0,30,37,21,16,2,23,1,45,0
PUNJAB,FARIDKOT,2005,17,36,6,0,6,10,2,8,1,10,0,9,0
PUNJAB,FATEHGARH SAHIB,2005,17,5,6,0,6,6,5,1,4,1,1,13,0
PUNJAB,FEROZPUR,2005,43,38,24,0,24,14,10,4,8,10,0,21,0
PUNJAB,G.R.P,2005,5,3,1,0,1,1,0,1,2,4,0,0,0
PUNJAB,GURDASPUR,2005,25,24,16,0,16,17,12,5,6,11,0,22,0
PUNJAB,HOSHIARPUR,2005,34,30,23,0,23,19,14,5,8,11,1,46,0
PUNJAB,JAGRAON,2005,15,24,12,0,12,16,9,7,0,9,6,3,0
PUNJAB,JALANDHAR,2005,63,83,37,0,37,80,65,15,7,27,1,78,0
PUNJAB,KAPURTHALA,2005,23,26,18,0,18,24,18,6,2,21,0,29,0
PUNJAB,KHANNA,2005,7,36,11,0,11,12,7,5,2,12,0,20,0
PUNJAB,LUDHIANA,2005,61,55,42,0,42,52,37,15,5,26,25,85,0
PUNJAB,MAJITHA,2005,35,21,9,0,9,18,15,3,7,2,1,16,0
PUNJAB,MANSA,2005,23,23,15,0,15,11,6,5,1,5,0,18,0
PUNJAB,MOGA,2005,22,34,9,0,9,18,11,7,3,6,1,13,0
PUNJAB,MUKTSAR,2005,26,30,18,0,18,23,15,8,3,18,0,34,0
PUNJAB,NAWAN SHAHR,2005,13,23,14,0,14,12,6,6,2,8,1,21,0
PUNJAB,PATIALA,2005,61,30,19,0,19,24,20,4,8,30,2,82,0
PUNJAB,ROPAR,2005,27,10,18,0,18,12,10,2,6,16,2,29,0
PUNJAB,SANGRUR,2005,33,34,11,0,11,21,15,6,7,14,1,43,0
PUNJAB,TARN TARAN,2005,38,36,19,0,19,11,5,6,3,20,0,12,0
PUNJAB,TOTAL,2005,713,723,398,0,398,478,329,149,99,308,43,729,0
RAJASTHAN,AJMER,2005,43,54,26,0,26,89,89,0,11,61,3,339,0
RAJASTHAN,ALWAR,2005,78,93,52,0,52,86,61,25,31,110,0,297,0
RAJASTHAN,BANSWARA,2005,26,15,29,0,29,33,29,4,7,83,1,56,0
RAJASTHAN,BARAN,2005,34,80,45,0,45,47,39,8,3,121,0,212,0
RAJASTHAN,BARMER,2005,27,28,19,0,19,26,20,6,13,86,0,72,0
RAJASTHAN,BHARATPUR,2005,91,111,46,0,46,88,58,30,35,44,0,220,0
RAJASTHAN,BHILWARA,2005,35,48,39,0,39,136,102,34,14,87,0,293,0
RAJASTHAN,BIKANER,2005,39,86,30,0,30,20,20,0,12,67,0,199,0
RAJASTHAN,BUNDI,2005,20,75,41,0,41,70,58,12,5,105,0,166,0
RAJASTHAN,CHITTORGARH,2005,52,55,61,0,61,133,102,31,7,118,1,335,0
RAJASTHAN,CHURU,2005,19,33,18,0,18,28,19,9,7,60,0,149,0
RAJASTHAN,DAUSA,2005,27,21,12,0,12,30,16,14,13,12,0,83,0
RAJASTHAN,DHOLPUR,2005,31,87,25,0,25,53,35,18,17,30,0,98,0
RAJASTHAN,DUNGARPUR,2005,21,11,9,0,9,31,30,1,3,39,0,50,0
RAJASTHAN,G.R.P.,2005,4,3,2,0,2,2,2,0,0,15,1,0,0
RAJASTHAN,GANGANAGAR,2005,59,114,45,0,45,53,47,6,10,58,0,373,0
RAJASTHAN,HANUMANGARH,2005,48,79,36,0,36,28,18,10,12,58,0,235,0
RAJASTHAN,JAIPUR,2005,88,95,82,0,82,211,163,48,40,212,5,538,0
RAJASTHAN,JAISALMER,2005,7,0,2,0,2,9,4,5,5,16,0,16,0
RAJASTHAN,JALORE,2005,15,22,5,0,5,22,14,8,5,42,0,59,0
RAJASTHAN,JHALAWAR,2005,40,87,40,0,40,68,46,22,6,160,6,199,0
RAJASTHAN,JHUNJHUNU,2005,27,13,31,0,31,29,15,14,11,45,0,98,0
RAJASTHAN,JODHPUR,2005,47,102,29,0,29,75,58,17,16,98,5,221,0
RAJASTHAN,KARAULI,2005,26,20,22,0,22,62,41,21,14,40,0,116,0
RAJASTHAN,KOTA,2005,44,303,40,0,40,109,93,16,5,154,1,361,0
RAJASTHAN,NAGAUR,2005,38,27,33,0,33,43,40,3,15,169,0,136,0
RAJASTHAN,PALI,2005,33,35,36,0,36,68,59,9,8,145,1,211,0
RAJASTHAN,RAJSAMAND,2005,18,19,8,0,8,47,37,10,0,29,2,117,0
RAJASTHAN,SAWAI MADHOPUR,2005,18,33,23,0,23,36,29,7,8,28,0,114,0
RAJASTHAN,SIKAR,2005,51,46,21,0,21,68,44,24,12,22,0,137,0
RAJASTHAN,SIROHI,2005,30,24,23,0,23,24,21,3,4,51,0,104,0
RAJASTHAN,TONK,2005,24,26,18,0,18,64,52,12,1,37,1,188,0
RAJASTHAN,UDAIPUR,2005,61,75,45,0,45,105,88,17,11,101,1,205,0
RAJASTHAN,TOTAL,2005,1221,1920,993,0,993,1993,1549,444,361,2503,28,5997,0
SIKKIM,EAST,2005,5,10,8,0,8,2,1,1,0,8,0,3,0
SIKKIM,NORTH,2005,0,2,1,0,1,0,0,0,0,1,0,0,0
SIKKIM,SOUTH,2005,2,2,6,0,6,1,1,0,0,22,0,0,0
SIKKIM,WEST,2005,1,2,3,0,3,0,0,0,0,7,0,1,0
SIKKIM,TOTAL,2005,8,16,18,0,18,3,2,1,0,38,0,4,0
TAMIL NADU,CHENNAI,2005,123,175,43,0,43,55,31,24,30,82,102,236,0
TAMIL NADU,CHENNAI RLY.,2005,1,1,0,0,0,0,0,0,0,3,1,2,0
TAMIL NADU,COIMBATORE RURAL,2005,87,122,33,0,33,47,18,29,8,165,35,147,0
TAMIL NADU,COIMBATORE URBAN,2005,19,20,6,0,6,4,3,1,3,21,5,31,0
TAMIL NADU,CUDDALORE,2005,60,90,32,0,32,32,23,9,13,45,0,40,0
TAMIL NADU,DHARMAPURI,2005,31,32,7,0,7,31,23,8,5,42,4,41,0
TAMIL NADU,DINDIGUL,2005,73,51,17,0,17,36,0,36,5,33,1,35,0
TAMIL NADU,ERODE,2005,55,28,22,0,22,22,16,6,5,72,11,63,0
TAMIL NADU,KANCHIPURAM,2005,42,62,18,0,18,29,0,29,12,43,13,10,0
TAMIL NADU,KANYAKUMARI,2005,30,41,13,0,13,16,16,0,1,15,0,40,0
TAMIL NADU,KARUR,2005,23,25,6,0,6,15,12,3,5,8,7,26,0
TAMIL NADU,KRISHNAGIRI,2005,42,21,10,0,10,30,26,4,10,47,34,28,0
TAMIL NADU,MADURAI RURAL,2005,36,70,24,0,24,36,32,4,4,57,13,44,0
TAMIL NADU,MADURAI URBAN,2005,21,40,5,0,5,20,13,7,3,28,29,43,0
TAMIL NADU,NAGAPATTINAM,2005,43,31,12,0,12,20,12,8,2,45,6,19,0
TAMIL NADU,NAMAKKAL,2005,29,26,0,0,0,35,33,2,0,39,0,41,0
TAMIL NADU,NILGIRIS,2005,11,21,13,0,13,9,8,1,0,32,0,6,0
TAMIL NADU,PERAMBALUR,2005,34,34,19,0,19,19,16,3,3,51,3,21,0
TAMIL NADU,PUDUKOTTAI,2005,29,33,14,0,14,34,29,5,4,55,8,51,0
TAMIL NADU,RAMNATHAPURAM,2005,29,28,5,0,5,17,14,3,4,28,3,29,0
TAMIL NADU,SALEM RURAL,2005,53,172,52,0,52,107,106,1,14,218,0,154,0
TAMIL NADU,SALEM URBAN,2005,17,8,4,0,4,12,10,2,6,9,9,18,0
TAMIL NADU,SIVAGANGAI,2005,15,40,2,0,2,9,7,2,8,8,10,28,0
TAMIL NADU,THANJAVUR,2005,63,55,9,0,9,45,45,0,7,102,5,26,0
TAMIL NADU,THENI,2005,29,51,3,0,3,17,14,3,2,50,4,19,0
